Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
22/03/2021,1088116-Business Insider Inc.-www.businessinsider.com,32,$767.00 ,0,$767.00 ,4,0,$153.40 ,12.5,$479.38 ,$191.75 ,1088116,"Business Insider, Inc.",www.businessinsider.com,4,0,0,0,0,0,$153.40 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$30.68 
22/03/2021,314743-Skimbit Ltd-skimlinks.com,80,$464.00 ,0,$464.00 ,2,0,$69.60 ,2.5,$87.00 ,$232.00 ,314743,Skimbit Ltd,skimlinks.com,2,0,0,0,0,0,$69.60 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.92 
22/03/2021,1225169-Vox Media LLC-www.voxmedia.com/a/vm,3,$249.00 ,0,$249.00 ,1,0,$44.82 ,33.33,"$1,494.00 ",$249.00 ,1225169,"Vox Media, LLC",www.voxmedia.com/a/vm,1,0,0,0,0,0,$44.82 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$8.96 
22/03/2021,742098-adgoal GmbH-www.adgoal.net,0,$225.25 ,0,$225.25 ,1,0,$6.76 ,0,$0.00 ,$225.25 ,742098,adgoal GmbH,www.adgoal.net,1,0,0,0,0,0,$6.76 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$1.35 
22/03/2021,514792-CBS Interactive Inc.-www.cnet.com,2,$199.20 ,0,$199.20 ,1,0,$23.90 ,50,"$1,195.00 ",$199.20 ,514792,CBS Interactive Inc.,www.cnet.com,1,0,0,0,0,0,$23.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$4.78 
22/03/2021,2053730-WW Affiliate-www.yourbestmattress247.com,32,$174.25 ,0,$174.25 ,1,0,$5.23 ,3.13,$16.34 ,$174.25 ,2053730,WW Affiliate,www.yourbestmattress247.com,1,0,0,0,0,0,$5.23 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$1.05 
22/03/2021,445875-Demand.io-knoji.com,8,$132.30 ,0,$132.30 ,1,0,$3.97 ,12.5,$49.63 ,$132.30 ,445875,Demand.io,knoji.com,1,0,0,0,0,0,$3.97 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.79 
22/03/2021,1663605-GSG North America LLC-coupons.businessinsider.com/,3,$80.00 ,0,$80.00 ,1,0,$8.00 ,33.33,$266.67 ,$80.00 ,1663605,GSG North America LLC,coupons.businessinsider.com/,1,0,0,0,0,0,$8.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$1.60 
22/03/2021,725033-ID.me Inc.-shop.id.me,50,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,725033,"ID.me, Inc.",shop.id.me,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,1584217-Trends Green-topnaturalmattresses.com,46,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,201285-12 Interactive LLC-www.perkspot.com,22,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,201285,12 Interactive LLC,www.perkspot.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,1773960-Tuck.com LLC-tuck.com,16,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1773960,"Tuck.com, LLC",tuck.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,140995-Savings.com Inc-www.savings.com,10,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,140995,Savings.com Inc,www.savings.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,389818-VigLink Inc.-www.viglink.com,9,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,389818,"VigLink, Inc.",www.viglink.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,2284878-Tuck.com LLC-www.sleepfoundation.org/,9,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,2284878,"Tuck.com, LLC",www.sleepfoundation.org/,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,1014069-Mutzel Nutrition LLC-highintensityhealth.com/,7,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1014069,Mutzel Nutrition LLC,highintensityhealth.com/,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
22/03/2021,748814-Reviewed.com-www.reviewed.com,6,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,748814,Reviewed.com,www.reviewed.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
