Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
59812ec88854d9b3cd1320c48a1c0bdfeae3c9b1fca191b24dc9113c63cea8f9,2019-03,West Midlands Police,West Midlands Police,-1.865492,52.534554,On or near WENDOVER ROAD,E01009121,Birmingham 014A,Unable to prosecute suspect
8abd4772bb670f383672208aa175f023bb7ece8ce08639312d992345e4cffcea,2019-03,West Midlands Police,West Midlands Police,-1.782751,52.464022,On or near KINGSLEY BANK WAY,E01009323,Birmingham 069E,Investigation complete; no suspect identified
4fed1268d180cd819af36e3dba769c550f6ffc39c8d5b2f9a1595f58a4fbac30,2019-03,West Midlands Police,West Midlands Police,-1.868006,52.462835,On or near CARTLAND ROAD,E01033650,Birmingham 077F,Investigation complete; no suspect identified
6cec218aa0221ba0e97eddf478dfd7332705b8981b71470ed349cf009303eb94,2019-03,West Midlands Police,West Midlands Police,-1.822766,52.447034,On or near Parking Area,E01008894,Birmingham 089E,Investigation complete; no suspect identified
99a95bcdf5119de8de1547c0a340d6cd031a5d1ddf96cbf80dba48d511d926a6,2019-03,West Midlands Police,West Midlands Police,-1.919215,52.509359,On or near HAMSTEAD ROAD,E01009056,Birmingham 032B,Investigation complete; no suspect identified
6f4e16061e0928888ac41a39ac859bee7d0ab15c1d4dff4d36c089c1245d2469,2019-03,West Midlands Police,West Midlands Police,-1.905198,52.504746,On or near LEONARD GROVE,E01009062,Birmingham 040E,Investigation complete; no suspect identified
c926a91b5e05291cee55e1535b2d7dbed455861aec27464f8b883cf938cdebad,2019-03,West Midlands Police,West Midlands Police,-1.888252,52.500380,On or near GILLESPIE CROFT,E01008910,Birmingham 050A,Investigation complete; no suspect identified
78bac550947279c736bd5950dbe56994d84958e68f6dfa5fd02e2931cc8e30d8,2019-03,West Midlands Police,West Midlands Police,-1.917996,52.475349,On or near RYLAND STREET,E01033564,Birmingham 136C,Investigation complete; no suspect identified
a286ba5fb5c1cd8ede02984edd24d731f31e8686ad465f59da8e4097aac9b998,2019-03,West Midlands Police,West Midlands Police,-1.890126,52.481215,On or near MASSHOUSE LANE,E01033617,Birmingham 050F,Unable to prosecute suspect
3a3c51dbfd7dda95602c9a52e998bc08508b340e3f449544d9041a3e27393e8f,2019-03,West Midlands Police,West Midlands Police,-1.949974,52.408940,On or near WYCHALL ROAD,E01009117,Birmingham 126A,Investigation complete; no suspect identified
707c3ae63cfde9844ed52eba7656125bd13d6153e5ccb877b3a93ba583fa8b31,2019-03,West Midlands Police,West Midlands Police,-1.931522,52.516190,On or near SOMERSET ROAD,E01009265,Birmingham 032E,Unable to prosecute suspect
05afeaa335a0b5d9bb67baaa28ca3a9f7d10a48bf980dd61046022a51f21911e,2019-03,West Midlands Police,West Midlands Police,-1.930875,52.505842,On or near OSBORNE ROAD,E01009353,Birmingham 039D,Investigation complete; no suspect identified
7a9ce1c4f9a670ffe371b61eabd5c7bf74a649a4f081fc069371f5d2afd779a3,2019-03,West Midlands Police,West Midlands Police,-1.931522,52.516190,On or near SOMERSET ROAD,E01009265,Birmingham 032E,Unable to prosecute suspect
1e78699770928726fff88a90262306efe8b7c4e4e8bef3775cac1e5670f5c69e,2019-03,West Midlands Police,West Midlands Police,-1.909662,52.511923,On or near STAMFORD GROVE,E01009050,Birmingham 035A,Suspect charged
30114d5f29ee6da3f1f46541853453a93ee1d1fd7b4775ded6edba2f3dc9a184,2019-03,West Midlands Police,West Midlands Police,-1.923471,52.501828,On or near ROSE HILL ROAD,E01009355,Birmingham 039E,Investigation complete; no suspect identified
4d9dd524d82528277cce6b0a37a2841556df3331e9804c50bfe7ff65a585ae0e,2019-03,West Midlands Police,West Midlands Police,-1.477404,52.443289,On or near CHESFORD CRESCENT,E01009604,Coventry 004A,Investigation complete; no suspect identified
545475e5ca369acb9564f1bf3e66af5d49fd963c164a0b3397e65b6313ea4202,2019-03,West Midlands Police,West Midlands Police,-2.107756,52.470051,On or near PARK ROAD,E01009867,Dudley 025D,Investigation complete; no suspect identified
43bbe30c8ba2dfc9133f1f9226658cb46400c523bd832ba2b5b436ef4ed2a588,2019-03,West Midlands Police,West Midlands Police,-2.102587,52.456274,On or near GIBBS ROAD,E01009835,Dudley 032B,Investigation complete; no suspect identified
ec4ef5b7268954e2503749ecb91bb3b748fbe7fa687a5fbe4e39537f3084d9cf,2019-03,West Midlands Police,West Midlands Police,-1.752765,52.380454,On or near DASSETT ROAD,E01010184,Solihull 028B,Investigation complete; no suspect identified
d313c4652b7307ee7dc8f8fd87473ebd9adad6cbb9386eb16f96af1c635dcfb7,2019-03,West Midlands Police,West Midlands Police,-2.038204,52.491104,On or near THRONE CLOSE,E01010045,Sandwell 029D,Investigation complete; no suspect identified
23f7569a41053744bab741e1f01798d0be0673d559a79e61ebe3bbeca0396bf0,2019-03,West Midlands Police,West Midlands Police,-2.048855,52.480348,On or near CARNEGIE ROAD,E01010040,Sandwell 029B,Investigation complete; no suspect identified
a85272f894991cde6cd75dcc8b72aa0d156cdb14f88790e48d5b5abc1b3f0563,2019-03,West Midlands Police,West Midlands Police,-2.026474,52.552031,On or near ST JAMES STREET,E01010090,Sandwell 005A,Investigation complete; no suspect identified
3a083d9e761bb7ca4d12bbcd4c1fa5a3dae1090d0aefd06f0b4060f6739cae3d,2019-03,West Midlands Police,West Midlands Police,-1.979799,52.576638,On or near BATH ROAD,E01010372,Walsall 030D,Investigation complete; no suspect identified
f5d8ee9c21d3545b6e8d9f94983aa2ba2ee77650d97d6c663ec27e3c9f58fbfd,2019-03,West Midlands Police,West Midlands Police,-2.120932,52.571849,On or near COCKSHUTTS LANE,E01010430,Wolverhampton 035D,Unable to prosecute suspect
a2eb7a6726170547a48901e11735b947c3b0a6f350bd368236d77f620caf90a1,2019-03,West Midlands Police,West Midlands Police,-1.895539,52.458637,On or near REASIDE CROFT,E01009366,Birmingham 084A,Investigation complete; no suspect identified
e8f5c1510256787c05ebb5e585dbac0c9be954d8b001ce8e2a73c1eb6f019b8c,2019-03,West Midlands Police,West Midlands Police,-1.832521,52.559683,On or near WYNDLEY LANE,E01009449,Birmingham 009A,Investigation complete; no suspect identified
8e90c17837badbfbe0d4e1f35c8632e0d45b8cc8f069cd2c26552fb92049ff7d,2019-03,West Midlands Police,West Midlands Police,-1.833875,52.423461,On or near SOLIHULL LANE,E01032589,Birmingham 132E,Unable to prosecute suspect
864cbef7dcca83c29ee0c294ebbaa5e8f2735707a0d9556daf035bc381c9d619,2019-03,West Midlands Police,West Midlands Police,-1.768617,52.467573,On or near RAGDENE ROAD,E01009321,Birmingham 069C,Unable to prosecute suspect
d5e0b44872cbc0b6c9e07f936e3becd3dc0ccc68d68c0a0e271d4f53bf88f706,2019-03,West Midlands Police,West Midlands Police,-1.778582,52.520543,On or near NEWCASTLE CROFT,E01009097,Birmingham 029B,Unable to prosecute suspect
f8e75daa0d01d8e7fc9ecee26e108c7fc583659fc511f46a98509019aa4a3079,2019-03,West Midlands Police,West Midlands Police,-1.877262,52.458035,On or near Parking Area,E01009375,Birmingham 083B,Investigation complete; no suspect identified
e91cebf323561b95a0aff1b7e7d1d8a4bfe62946bccb05efc8f5c605908474c7,2019-03,West Midlands Police,West Midlands Police,-1.865537,52.524413,On or near MARSH HILL,E01009410,Birmingham 026D,Suspect charged
acc418ee39eef60b09a0a07fdcc3bf69c4a9c3beb12ad62d819ee52367734163,2019-03,West Midlands Police,West Midlands Police,-1.836357,52.535416,On or near TRIDENT CLOSE,E01009001,Birmingham 018A,Investigation complete; no suspect identified
